X,Y,id,id_punto,est,nord,quota orot,info,note,materiale,diametro,material_1,h pozzetto,dimensione,foto-1,foto-2,foto-3,icon_url
14.2198612344735,41.5436172015597,"2112","719",434930.919,4599400.382,554.512,FOGNA,,,,,,,,,,./0.png
14.2070592099647,41.5592201963002,"2113","686",433879.034,4601142.371,408.895,LUCE,,,,,,,,,,./1.png
14.2070837636283,41.5593109696134,"2114","685",433881.174,4601152.43,409.715,LUCE,,,,,,,,,,./1.png
14.2070887037943,41.5592972856299,"2115","684",433881.572,4601150.907,409.462,LUCE,,,,,,,,,,./1.png
14.2070870246871,41.5592747378964,"2116","683",433881.409,4601148.405,408.98,LUCE,,,,,,,,,,./1.png
14.2074917234006,41.5590314587482,"2117","689",433914.908,4601121.086,401.064,LUCE,,,,,,,,,,./1.png
14.2074405212749,41.5591694933146,"2118","688",433910.779,4601136.45,403.389,IDRICO,,,,,,,,,,./2.png
14.2073037767166,41.559166370909,"2119","687",433899.373,4601136.208,404.975,LUCE,,,,,,,,,,./1.png
14.2063790106797,41.5602025455156,"2120","670",433823.316,4601251.954,409.347,IDRICO,,,,,,,,,,./2.png
14.2063420659802,41.560239481464,"2121","669",433820.273,4601256.083,408.995,LUCE,,,,,,,,,,./1.png
14.2062031637523,41.5602654993343,"2122","668",433808.717,4601259.078,409.053,IDRICO,,,,,,,,,,./2.png
14.2061344536038,41.5602914522429,"2123","667",433803.014,4601262.012,408.954,IDRICO,,,,,,,,,,./2.png
14.2067335038002,41.5599712174557,"2124","674",433852.64,4601226,410.089,IDRICO,,,,,,,,,,./2.png
14.2066471500339,41.5600356900696,"2125","673",433845.505,4601233.224,409.89,IDRICO,,,,,,,,,,./2.png
14.2233312820719,41.5411648947831,"2142","884",435217.9,4599125.516,575.282,LUCE,,,,,,,,,,./1.png
14.2226167663452,41.5412453295734,"2158","866",435158.382,4599134.982,584.125,FOGNA,,,,,,,,,,./0.png
14.2225220833099,41.5411398175849,"2159","869",435150.379,4599123.339,585.303,IDRICO,,Acciaio,"15",Acciaio,150,160x130,DCIM/pozzetti_20230626123014573.JPG,DCIM/pozzetti_20230626123443728.JPG,DCIM/pozzetti_20230626123454487.JPG,./2.png
14.2226078907997,41.5411715719409,"2160","868",435157.568,4599126.8,584.622,FOGNA,,Cls,"60",Pvc,220,70x70,DCIM/pozzetti_20230626123800421.JPG,DCIM/pozzetti_20230626123829349.JPG,DCIM/pozzetti_20230626123838273.JPG,./0.png
14.2232606123941,41.5399031807895,"2164","891",435210.746,4598985.492,586.319,FOGNA,,,,,,,,,,./0.png
14.2235243146734,41.5395673865048,"2165","890",435232.407,4598948.014,590.134,LUCE,,,,,,,,,,./1.png
14.2232512065034,41.5399157724971,"2166","892",435209.974,4598986.897,586.128,IDRICO,,,,,,,,,,./2.png
14.223083417091,41.5402710754527,"2167","887",435196.333,4599026.469,581.731,FOGNA,,,,,,,,,,./0.png
14.2230799334285,41.5402566312453,"2168","886",435196.028,4599024.868,581.865,IDRICO,,,,,,,,,,./2.png
14.2232508245275,41.5408353240903,"2169","889",435210.86,4599088.987,577.367,IDRICO,,,,,,,,,,./2.png
14.2231834577009,41.5406241074644,"2170","888",435205.03,4599065.588,578.725,LUCE,,,,,,,,,,./1.png
14.223293484934,41.5409211274467,"2171","883",435214.504,4599098.481,576.658,LUCE,,,,,,,,,,./1.png
14.223258635538,41.5408498245436,"2172","882",435211.526,4599090.591,577.293,FOGNA,,,,,,,,,,./0.png
14.2233397346134,41.5412710667341,"2173","885",435218.711,4599137.297,574.766,IDRICO,,,,,,,,,,./2.png
14.2227988579209,41.5409195328311,"2174","857",435173.245,4599098.675,584.997,LUCE,,,,,,,,,,./1.png
14.2229113788683,41.5406246200262,"2177","850",435182.336,4599065.849,584.777,LUCE,,,,,,,,,,./1.png
14.223356382413,41.541403721416,"2180","879",435220.232,4599152.012,574.499,LUCE,,,,,,,,,,./1.png
14.223343998784,41.5412854171227,"2181","878",435219.081,4599138.887,574.74,FOGNA,,,,,,,,,,./0.png
14.2233055606507,41.5417253976934,"2182","881",435216.314,4599187.763,573.883,IDRICO,,,,,,,,,,./2.png
